state;account_length;area_code;international_plan;voice_mail_plan;number_vmail_messages;total_day_minutes;total_day_calls;total_day_charge;total_eve_minutes;total_eve_calls;total_eve_charge;total_night_minutes;total_night_calls;total_night_charge;total_intl_minutes;total_intl_calls;total_intl_charge;number_customer_service_calls;churn
OK;101;area_code_408;no;no;0;209,6;107;35,6;228,8;96;19,5;172,4;85;7,8;7,6;2;2,1;3;no
ID;95;area_code_415;no;yes;32;247,0;109;42,0;125,6;91;10,7;226,5;90;10,2;10,5;4;2,8;3;no
NV;7;area_code_408;no;yes;30;221,4;114;37,6;165,8;116;14,1;247,0;105;11,1;10,8;12;2,9;1;no
KS;126;area_code_408;no;no;0;321,3;99;54,6;167,9;93;14,3;193,6;106;8,7;8,0;4;2,2;1;yes
WY;71;area_code_415;no;no;0;243,7;124;41,4;60,0;90;5,1;189,0;129;8,5;11,3;2;3,1;0;no
MS;124;area_code_415;no;no;0;251,5;85;42,8;214,2;98;18,2;186,1;71;8,4;11,1;6;3,0;3;no
WY;97;area_code_510;yes;no;0;236,9;107;40,3;157,6;105;13,4;241,0;120;10,9;7,3;2;2,0;0;yes
TX;28;area_code_415;no;no;0;159,7;79;27,2;216,7;131;18,4;206,7;116;9,3;9,3;3;2,5;2;no
WA;90;area_code_415;yes;no;0;148,2;96;25,2;220,4;111;18,7;134,2;97;6,0;9,2;1;2,5;4;yes
HI;190;area_code_408;no;no;0;150,9;86;25,7;268,6;129;22,8;179,9;73;8,1;14,7;1;4,0;1;no
IL;31;area_code_415;no;yes;28;210,5;101;35,8;250,5;86;21,3;241,6;125;10,9;11,5;2;3,1;1;no
MD;73;area_code_510;no;no;0;254,7;80;43,3;90,2;79;7,7;153,4;60;6,9;10,6;8;2,9;0;no
MA;111;area_code_415;no;no;0;284,4;89;48,4;157,0;113;13,4;242,8;91;10,9;8,4;8;2,3;0;yes
SD;98;area_code_415;no;no;0;0,0;0;0,0;159,6;130;13,6;167,1;88;7,5;6,8;1;1,8;4;yes
PA;106;area_code_408;yes;no;0;133,7;45;22,7;187,8;107;16,0;181,9;89;8,2;10,7;2;2,9;1;yes
NC;111;area_code_408;no;no;0;224,9;117;38,2;191,9;127;16,3;229,9;97;10,4;10,3;3;2,8;0;no
VT;59;area_code_408;no;no;0;151,8;98;25,8;209,9;92;17,8;266,9;86;12,0;11,9;5;3,2;1;no
KY;71;area_code_510;no;yes;22;141,4;107;24,0;163,0;105;13,9;220,0;99;9,9;5,6;3;1,5;2;no
WA;55;area_code_408;no;no;0;285,7;124;48,6;230,9;106;19,6;230,7;140;10,4;14,8;7;4,0;0;yes
LA;13;area_code_415;no;no;0;58,4;121;9,9;262,2;64;22,3;159,0;115;7,2;11,9;5;3,2;1;no
WA;136;area_code_415;no;yes;16;90,4;105;15,4;201,3;109;17,1;227,1;115;10,2;13,1;4;3,5;0;no
ME;123;area_code_408;no;no;0;114,4;91;19,5;216,6;123;18,4;250,6;102;11,3;11,0;3;3,0;0;no
WI;105;area_code_408;no;no;0;147,7;103;25,1;222,7;78;18,9;163,5;102;7,4;12,8;3;3,5;2;no
TX;50;area_code_408;no;yes;31;302,7;93;51,5;240,5;119;20,4;193,9;103;8,7;13,6;14;3,7;3;no
AZ;97;area_code_408;no;no;0;169,7;84;28,9;165,9;86;14,1;191,9;83;8,6;12,8;6;3,5;3;no
ND;51;area_code_510;no;no;0;227,2;89;38,6;194,4;106;16,5;243,4;126;11,0;14,9;2;4,0;0;no
VT;73;area_code_415;no;no;0;217,8;91;37,0;220,6;97;18,8;277,3;89;12,5;10,3;6;2,8;1;yes
HI;35;area_code_415;no;no;0;124,2;102;21,1;123,9;115;10,5;135,7;100;6,1;13,1;8;3,5;2;no
WY;64;area_code_415;no;no;0;206,2;76;35,1;232,4;76;19,8;251,6;96;11,3;13,6;2;3,7;1;no
WV;63;area_code_510;no;no;0;132,9;122;22,6;67,0;62;5,7;160,4;121;7,2;9,9;2;2,7;3;no
OK;117;area_code_415;no;yes;31;104,9;115;17,8;237,6;125;20,2;263,4;104;11,9;7,7;6;2,1;3;no
CT;115;area_code_415;no;no;0;245,0;97;41,7;250,7;75;21,3;270,2;124;12,2;13,7;8;3,7;1;yes
UT;162;area_code_408;no;no;0;184,5;118;31,4;224,0;95;19,0;180,5;82;8,1;11,6;3;3,1;1;no
NY;89;area_code_415;no;no;0;89,5;66;15,2;179,3;104;15,2;225,1;116;10,1;12,3;1;3,3;3;no
VA;94;area_code_415;yes;no;0;235,6;131;40,1;194,8;107;16,6;170,6;93;7,7;8,6;4;2,3;1;no
VT;129;area_code_408;no;no;0;186,0;127;31,6;262,3;96;22,3;98,9;63;4,5;11,5;6;3,1;4;no
SD;86;area_code_415;no;no;0;223,9;75;38,1;155,7;109;13,2;150,2;143;6,8;7,3;9;2,0;1;no
PA;96;area_code_510;no;no;0;179,5;125;30,5;162,3;139;13,8;264,5;133;11,9;6,6;2;1,8;1;no
ND;190;area_code_415;no;no;0;169,4;102;28,8;253,5;113;21,6;197,1;93;8,9;8,9;5;2,4;1;no
CT;80;area_code_408;no;no;0;118,1;90;20,1;144,3;77;12,3;225,1;86;10,1;8,2;6;2,2;1;no
SC;108;area_code_415;no;no;0;112,0;105;19,0;193,7;110;16,5;208,9;93;9,4;4,1;4;1,1;4;yes
MI;97;area_code_408;no;yes;32;168,4;129;28,6;225,9;97;19,2;191,8;95;8,6;8,5;7;2,3;0;no
VT;84;area_code_415;no;yes;42;214,3;112;36,4;188,2;107;16,0;333,5;117;15,0;11,3;10;3,1;0;no
OH;65;area_code_415;no;no;0;245,7;139;41,8;241,9;113;20,6;285,3;117;12,8;4,2;5;1,1;4;yes
IL;58;area_code_415;yes;yes;43;142,8;96;24,3;272,3;100;23,2;193,4;105;8,7;8,9;4;2,4;1;no
MO;36;area_code_415;no;no;0;202,4;115;34,4;230,7;115;19,6;202,0;127;9,1;10,2;2;2,8;3;no
WI;54;area_code_415;no;no;0;116,8;119;19,9;123,1;123;10,5;217,5;101;9,8;12,0;2;3,2;1;no
NJ;45;area_code_510;no;no;0;155,7;110;26,5;260,3;103;22,1;192,2;98;8,7;11,0;1;3,0;1;no
VT;72;area_code_415;no;yes;21;138,1;113;23,5;260,1;83;22,1;135,4;118;6,1;8,2;2;2,2;2;no
CT;141;area_code_408;no;no;0;51,9;108;8,8;162,0;83;13,8;223,5;115;10,1;10,1;3;2,7;3;no
SD;20;area_code_415;no;yes;35;171,5;98;29,2;153,1;127;13,0;165,6;125;7,5;7,1;3;1,9;0;no
OH;94;area_code_510;no;no;0;194,1;62;33,0;227,2;54;19,3;190,4;115;8,6;15,3;4;4,1;1;no
NY;40;area_code_510;no;no;0;115,7;105;19,7;127,8;113;10,9;107,5;91;4,8;9,3;6;2,5;1;no
OK;101;area_code_415;no;no;0;269,7;85;45,9;207,6;86;17,7;214,2;107;9,6;4,5;15;1,2;3;yes
NC;170;area_code_415;no;no;0;246,4;107;41,9;228,1;124;19,4;166,4;95;7,5;9,1;8;2,5;0;no
HI;105;area_code_510;no;no;0;227,4;121;38,7;268,5;89;22,8;143,3;82;6,5;13,0;4;3,5;1;no
UT;103;area_code_415;no;no;0;189,8;110;32,3;115,5;83;9,8;191,3;103;8,6;12,2;4;3,3;0;no
MD;140;area_code_415;yes;yes;27;188,9;124;32,1;160,9;102;13,7;197,7;100;8,9;11,5;5;3,1;4;no
VT;101;area_code_510;no;no;0;0,0;0;0,0;192,1;119;16,3;168,8;95;7,6;7,2;4;1,9;1;no
TX;98;area_code_408;no;yes;19;110,5;87;18,8;227,8;97;19,4;243,6;84;11,0;11,0;4;3,0;1;no
AZ;104;area_code_408;no;no;0;167,6;116;28,5;219,2;112;18,6;215,9;94;9,7;11,7;2;3,2;4;no
VA;115;area_code_415;no;no;0;132,0;90;22,4;197,5;75;16,8;175,8;114;7,9;0,0;0;0,0;3;no
NE;70;area_code_415;no;no;0;213,4;86;36,3;204,7;77;17,4;256,6;101;11,6;5,7;4;1,5;1;no
KY;126;area_code_510;no;no;0;175,4;120;29,8;98,3;71;8,4;201,9;93;9,1;10,6;1;2,9;0;no
NV;87;area_code_510;no;yes;39;82,6;113;14,0;224,4;63;19,1;163,6;88;7,4;9,5;1;2,6;3;no
MT;125;area_code_510;no;no;0;143,2;80;24,3;88,1;94;7,5;233,2;135;10,5;8,8;7;2,4;4;yes
MO;86;area_code_415;no;no;0;125,5;139;21,3;269,8;93;22,9;235,8;110;10,6;8,9;8;2,4;1;no
MS;73;area_code_415;no;yes;31;82,3;105;14,0;256,1;91;21,8;229,6;98;10,3;11,8;2;3,2;6;yes
NM;232;area_code_408;no;no;0;165,6;104;28,2;195,9;115;16,7;118,3;77;5,3;11,8;3;3,2;1;no
NH;133;area_code_408;no;no;0;162,1;91;27,6;212,1;94;18,0;260,4;78;11,7;12,2;5;3,3;1;no
NC;103;area_code_510;no;no;0;166,6;84;28,3;192,4;91;16,4;167,9;115;7,6;7,7;6;2,1;1;no
MT;131;area_code_415;no;yes;24;135,9;60;23,1;233,2;78;19,8;210,6;121;9,5;9,4;4;2,5;1;no
SD;95;area_code_408;no;yes;20;165,7;78;28,2;215,6;94;18,3;243,3;91;11,0;9,8;6;2,7;0;no
VA;182;area_code_415;no;no;0;176,1;90;29,9;174,9;106;14,9;234,7;134;10,6;9,7;4;2,6;1;no
LA;99;area_code_510;no;no;0;142,3;89;24,2;204,5;95;17,4;203,1;114;9,1;9,1;1;2,5;0;no
AK;141;area_code_408;no;no;0;83,2;74;14,1;190,6;104;16,2;150,5;79;6,8;10,7;7;2,9;1;no
OH;29;area_code_415;yes;yes;37;235,0;101;40,0;183,3;79;15,6;139,8;106;6,3;5,7;7;1,5;2;no
NM;65;area_code_415;no;no;0;105,7;95;18,0;141,8;100;12,1;180,5;105;8,1;6,6;12;1,8;2;no
MI;81;area_code_415;yes;no;0;149,4;68;25,4;171,9;98;14,6;214,5;97;9,7;17,9;3;4,8;3;yes
MN;37;area_code_415;no;yes;20;264,7;81;45,0;216,5;110;18,4;210,7;102;9,5;10,4;7;2,8;0;no
WY;107;area_code_510;no;yes;31;160,3;45;27,3;221,5;70;18,8;261,6;109;11,8;5,6;1;1,5;1;no
WY;127;area_code_415;yes;yes;28;95,9;117;16,3;159,5;131;13,6;152,8;132;6,9;10,4;3;2,8;1;no
WA;78;area_code_408;no;no;0;140,7;77;23,9;195,2;114;16,6;252,9;107;11,4;11,7;5;3,2;0;no
NM;55;area_code_510;no;no;0;119,7;148;20,4;231,8;96;19,7;222,3;113;10,0;4,6;2;1,2;2;no
VA;86;area_code_415;no;yes;30;99,9;84;17,0;263,5;125;22,4;254,7;90;11,5;9,8;7;2,7;2;no
RI;176;area_code_415;no;no;0;250,9;108;42,7;171,4;100;14,6;148,6;85;6,7;9,6;6;2,6;2;no
AL;96;area_code_415;yes;no;0;200,6;117;34,1;289,5;120;24,6;98,3;95;4,4;11,2;5;3,0;2;no
WV;11;area_code_510;no;yes;38;209,8;130;35,7;196,6;84;16,7;233,0;79;10,5;7,0;7;1,9;1;no
WV;48;area_code_415;no;yes;34;198,0;70;33,7;273,7;121;23,3;217,9;71;9,8;7,6;4;2,1;1;no
NJ;127;area_code_510;no;no;0;239,8;107;40,8;128,9;121;11,0;249,9;110;11,3;11,3;5;3,1;1;no
MI;79;area_code_510;no;no;0;220,9;107;37,6;192,2;97;16,3;161,0;74;7,3;12,2;2;3,3;1;no
MI;83;area_code_510;no;yes;26;226,4;117;38,5;234,7;97;20,0;133,6;82;6,0;10,8;7;2,9;1;no
ND;60;area_code_510;no;no;0;203,2;99;34,5;235,8;131;20,0;224,9;112;10,1;15,1;6;4,1;2;no
VT;122;area_code_415;no;no;0;136,7;115;23,2;243,1;137;20,7;188,9;110;8,5;8,6;4;2,3;0;no
WA;136;area_code_408;no;no;0;152,6;97;25,9;208,9;85;17,8;119,1;99;5,4;5,0;10;1,4;1;no
NC;172;area_code_408;no;yes;47;274,9;102;46,7;186,6;118;15,9;245,0;123;11,0;8,8;2;2,4;1;no
WV;79;area_code_415;no;no;0;222,3;99;37,8;146,2;82;12,4;275,6;82;12,4;8,9;4;2,4;3;no
ID;55;area_code_510;no;yes;8;222,5;104;37,8;171,5;94;14,6;377,5;114;17,0;9,7;2;2,6;1;no
LA;111;area_code_415;no;yes;28;128,8;104;21,9;157,3;52;13,4;147,4;76;6,6;10,3;2;2,8;2;no
GA;160;area_code_415;no;no;0;174,3;105;29,6;171,3;107;14,6;220,8;131;9,9;8,3;2;2,2;0;no
FL;110;area_code_415;no;no;0;242,5;110;41,2;162,3;140;13,8;184,1;86;8,3;7,8;3;2,1;4;no
CO;192;area_code_415;no;no;0;221,6;101;37,7;285,2;50;24,2;167,4;83;7,5;12,7;6;3,4;4;no
NV;93;area_code_408;no;no;0;114,3;100;19,4;221,1;103;18,8;126,3;88;5,7;10,9;9;2,9;0;no
VA;77;area_code_510;no;no;0;144,9;136;24,6;151,3;115;12,9;252,4;73;11,4;12,3;3;3,3;2;no
UT;105;area_code_415;no;yes;40;236,5;111;40,2;117,0;110;10,0;221,1;115;10,0;8,1;3;2,2;2;no
UT;133;area_code_408;no;yes;44;174,0;80;29,6;209,4;113;17,8;224,1;87;10,1;14,1;7;3,8;2;yes
MO;131;area_code_408;no;no;0;109,5;95;18,6;332,1;48;28,2;258,6;108;11,6;6,6;7;1,8;1;no
HI;118;area_code_415;no;no;0;133,4;113;22,7;121,0;92;10,3;254,7;129;11,5;5,9;4;1,6;1;no
MD;125;area_code_408;no;no;0;137,1;94;23,3;209,8;83;17,8;238,4;114;10,7;8,6;4;2,3;1;no
VA;95;area_code_415;no;no;0;197,0;88;33,5;190,4;68;16,2;211,9;104;9,5;16,1;8;4,4;0;no
MT;80;area_code_415;no;no;0;198,1;160;33,7;156,7;87;13,3;182,1;76;8,2;9,3;3;2,5;3;no
SC;145;area_code_408;no;no;0;39,5;78;6,7;264,3;106;22,5;185,8;90;8,4;10,0;6;2,7;0;no
CO;37;area_code_408;no;no;0;199,5;107;33,9;207,5;110;17,6;83,9;123;3,8;8,1;4;2,2;2;no
ID;87;area_code_415;no;no;0;156,8;93;26,7;215,8;68;18,3;223,3;77;10,1;7,6;6;2,1;1;no
UT;195;area_code_415;no;no;0;63,2;108;10,7;220,2;88;18,7;184,0;99;8,3;5,1;3;1,4;0;no
RI;123;area_code_415;no;yes;27;218,7;79;37,2;163,4;78;13,9;173,8;116;7,8;15,0;1;4,1;0;no
FL;41;area_code_415;no;yes;41;207,3;95;35,2;137,3;120;11,7;115,7;74;5,2;5,9;3;1,6;1;no
MD;76;area_code_415;yes;no;0;273,3;66;46,5;263,6;121;22,4;165,2;84;7,4;12,0;7;3,2;1;yes
IL;86;area_code_415;yes;no;0;266,1;120;45,2;182,0;92;15,5;206,5;103;9,3;10,3;4;2,8;1;no
PA;140;area_code_408;no;no;0;112,8;89;19,2;156,7;65;13,3;249,6;85;11,2;16,3;6;4,4;0;no
AZ;70;area_code_415;no;no;0;104,7;112;17,8;82,2;104;7,0;169,4;110;7,6;15,8;7;4,3;3;no
NH;121;area_code_510;no;yes;35;193,8;62;33,0;197,6;97;16,8;218,8;95;9,9;5,9;4;1,6;0;no
RI;112;area_code_415;no;no;0;168,6;102;28,7;298,0;117;25,3;194,7;110;8,8;9,8;5;2,7;1;no
HI;118;area_code_415;no;no;0;253,2;122;43,0;201,0;78;17,1;195,3;108;8,8;9,7;7;2,6;2;no
NJ;66;area_code_415;no;yes;16;174,7;92;29,7;232,1;105;19,7;305,4;98;13,7;8,9;2;2,4;1;no
MD;129;area_code_415;no;yes;34;204,5;79;34,8;132,8;113;11,3;190,1;117;8,6;14,8;9;4,0;2;no
OR;6;area_code_408;no;no;0;226,5;93;38,5;152,1;122;12,9;164,4;98;7,4;9,4;4;2,5;3;no
NV;107;area_code_510;yes;no;0;234,1;91;39,8;163,1;105;13,9;282,5;100;12,7;10,0;3;2,7;1;no
AR;107;area_code_415;yes;no;0;133,3;106;22,7;182,9;89;15,6;241,1;123;10,9;12,9;2;3,5;3;yes
MT;138;area_code_415;no;no;0;133,9;87;22,8;166,4;110;14,1;193,5;139;8,7;15,4;3;4,2;1;no
CT;103;area_code_510;no;no;0;160,2;104;27,2;138,9;70;11,8;312,5;97;14,1;9,7;2;2,6;0;no
UT;116;area_code_415;no;yes;44;230,6;94;39,2;224,1;103;19,1;244,0;76;11,0;11,1;2;3,0;0;no
NV;161;area_code_415;no;no;0;72,8;120;12,4;267,1;120;22,7;222,5;91;10,0;11,8;2;3,2;2;no
TN;1;area_code_415;no;no;0;196,1;107;33,3;296,5;82;25,2;211,5;91;9,5;7,0;2;1,9;1;no
DE;89;area_code_408;no;no;0;197,1;110;33,5;165,9;115;14,1;227,3;106;10,2;12,8;3;3,5;1;no
NY;64;area_code_408;no;no;0;219,6;126;37,3;303,3;100;25,8;154,5;65;7,0;9,7;5;2,6;1;no
IA;129;area_code_415;no;no;0;216,0;85;36,7;186,9;114;15,9;210,7;109;9,5;4,9;10;1,3;2;no
VT;128;area_code_510;no;yes;32;222,9;136;37,9;262,0;80;22,3;191,4;101;8,6;10,8;4;2,9;0;no
LA;81;area_code_415;no;yes;36;115,9;120;19,7;236,6;95;20,1;255,0;90;11,5;11,7;6;3,2;3;no
MT;114;area_code_510;no;no;0;189,8;101;32,3;147,7;80;12,6;172,7;121;7,8;10,6;5;2,9;1;no
WV;86;area_code_415;no;no;0;136,4;104;23,2;202,5;110;17,2;230,7;86;10,4;11,5;1;3,1;3;no
ID;96;area_code_408;no;no;0;170,5;86;29,0;277,5;88;23,6;162,5;117;7,3;12,2;6;3,3;1;no
AZ;72;area_code_510;no;no;0;272,4;88;46,3;107,9;125;9,2;185,5;81;8,4;12,7;2;3,4;0;no
SC;64;area_code_510;no;yes;40;210,0;116;35,7;232,7;89;19,8;168,8;94;7,6;5,9;4;1,6;8;no
OH;65;area_code_510;no;no;0;153,9;117;26,2;220,1;122;18,7;280,5;147;12,6;8,5;3;2,3;2;no
MD;136;area_code_415;no;no;0;252,4;74;42,9;167,9;81;14,3;248,3;110;11,2;10,7;3;2,9;2;no
MN;116;area_code_408;no;no;0;197,9;84;33,6;168,1;113;14,3;239,8;145;10,8;12,0;6;3,2;1;no
NE;93;area_code_408;no;no;0;152,4;74;25,9;274,6;88;23,3;252,2;120;11,4;6,6;5;1,8;3;no
MN;142;area_code_510;no;yes;40;237,4;105;40,4;175,9;93;15,0;210,3;110;9,5;9,2;3;2,5;3;no
NY;92;area_code_408;no;no;0;265,6;82;45,2;180,7;75;15,4;211,1;113;9,5;8,6;2;2,3;1;no
HI;70;area_code_415;no;no;0;197,3;91;33,5;305,8;81;26,0;171,0;105;7,7;6,7;6;1,8;1;no
MO;22;area_code_408;no;yes;14;199,1;100;33,9;221,8;103;18,9;65,7;91;3,0;4,2;1;1,1;1;no
NV;37;area_code_415;no;no;0;233,7;114;39,7;207,9;109;17,7;212,7;101;9,6;12,0;2;3,2;2;no
MA;51;area_code_415;no;no;0;183,1;99;31,1;160,1;107;13,6;311,8;121;14,0;7,0;3;1,9;1;no
FL;130;area_code_415;no;no;0;207,1;70;35,2;200,1;115;17,0;194,2;100;8,7;12,4;2;3,4;1;no
WA;104;area_code_415;no;no;0;139,7;78;23,8;202,6;119;17,2;203,6;102;9,2;11,3;5;3,1;2;no
CT;134;area_code_408;no;no;0;177,2;91;30,1;228,7;105;19,4;194,3;113;8,7;8,9;3;2,4;2;no
KY;108;area_code_415;no;yes;35;169,8;136;28,9;173,7;101;14,8;214,6;105;9,7;9,5;7;2,6;2;no
NM;103;area_code_415;no;no;0;173,5;83;29,5;244,3;65;20,8;221,6;66;10,0;9,7;2;2,6;3;no
ND;62;area_code_510;no;no;0;159,9;100;27,2;172,2;99;14,6;263,2;109;11,8;5,6;4;1,5;1;no
NV;162;area_code_415;no;no;0;115,1;89;19,6;196,8;111;16,7;212,4;98;9,6;11,4;3;3,1;2;no
ID;42;area_code_415;no;no;0;92,2;108;15,7;211,2;120;18,0;129,1;73;5,8;13,1;6;3,5;1;no
IA;36;area_code_510;no;no;0;117,1;94;19,9;235,4;117;20,0;221,3;108;10,0;9,0;2;2,4;0;no
OH;143;area_code_415;no;no;0;223,3;99;38,0;167,1;128;14,2;203,0;84;9,1;4,5;4;1,2;0;yes
NJ;197;area_code_510;no;no;0;154,8;111;26,3;171,5;102;14,6;227,3;86;10,2;10,6;2;2,9;3;no
IA;81;area_code_510;no;no;0;261,4;141;44,4;215,7;102;18,3;271,8;96;12,2;8,0;6;2,2;1;yes
DE;138;area_code_510;yes;no;0;46,5;104;7,9;186,0;114;15,8;167,5;95;7,5;9,6;4;2,6;4;yes
CA;103;area_code_415;no;yes;18;149,9;84;25,5;170,9;84;14,5;171,5;112;7,7;11,5;7;3,1;0;yes
WY;127;area_code_510;yes;no;0;242,2;102;41,2;226,1;80;19,2;252,0;96;11,3;13,9;5;3,8;2;yes
ME;99;area_code_415;no;no;0;222,4;102;37,8;185,8;89;15,8;237,7;81;10,7;12,0;8;3,2;2;no
AR;95;area_code_415;no;no;0;69,4;79;11,8;190,8;109;16,2;219,9;102;9,9;8,9;5;2,4;0;no
WV;113;area_code_415;no;no;0;61,2;111;10,4;92,3;88;7,9;197,4;114;8,9;13,7;3;3,7;5;yes
PA;128;area_code_408;yes;no;0;245,2;112;41,7;101,5;101;8,6;152,3;116;6,9;10,7;5;2,9;0;no
DC;81;area_code_510;yes;no;0;227,4;105;38,7;211,5;120;18,0;258,2;113;11,6;11,9;3;3,2;0;no
AR;57;area_code_510;no;no;0;192,8;68;32,8;158,0;86;13,4;235,5;105;10,6;12,7;6;3,4;1;no
MS;140;area_code_408;no;no;0;162,6;98;27,6;206,2;109;17,5;141,6;66;6,4;8,2;2;2,2;1;no
MD;102;area_code_415;no;no;0;271,1;80;46,1;172,0;133;14,6;169,2;105;7,6;10,3;5;2,8;1;no
CT;107;area_code_408;no;no;0;103,4;94;17,6;189,3;125;16,1;227,2;125;10,2;14,4;3;3,9;1;no
SC;106;area_code_408;no;no;0;52,2;106;8,9;220,1;113;18,7;112,3;95;5,1;11,4;2;3,1;2;no
MI;225;area_code_415;no;no;0;165,4;106;28,1;273,7;109;23,3;210,0;93;9,5;8,7;3;2,4;0;yes
SD;75;area_code_408;no;no;0;147,5;110;25,1;191,7;97;16,3;135,0;68;6,1;16,4;3;4,4;2;no
CO;86;area_code_415;no;no;0;217,8;93;37,0;214,7;95;18,3;228,7;70;10,3;11,3;7;3,1;0;no
ID;169;area_code_415;no;no;0;235,7;79;40,1;136,9;85;11,6;220,9;97;9,9;13,3;10;3,6;1;no
AZ;122;area_code_510;no;yes;22;204,5;92;34,8;139,6;121;11,9;205,0;103;9,2;8,6;5;2,3;2;no
FL;106;area_code_408;no;no;0;178,4;143;30,3;247,0;123;21,0;259,9;105;11,7;9,6;2;2,6;0;no
MN;52;area_code_415;no;yes;32;130,1;68;22,1;247,2;77;21,0;289,4;87;13,0;13,5;5;3,7;2;no
DE;79;area_code_415;no;yes;34;103,7;100;17,6;236,3;78;20,1;256,6;102;11,6;14,8;4;4,0;2;no
MI;135;area_code_415;no;no;0;239,9;91;40,8;177,1;104;15,1;217,2;118;9,8;5,9;3;1,6;2;no
MS;70;area_code_408;no;no;0;148,4;110;25,2;267,1;90;22,7;151,5;101;6,8;8,9;4;2,4;0;no
MA;80;area_code_408;no;no;0;148,6;106;25,3;210,8;65;17,9;203,7;86;9,2;10,0;2;2,7;2;no
CA;37;area_code_415;no;no;0;191,1;69;32,5;129,2;113;11,0;207,5;117;9,3;12,9;1;3,5;0;no
MN;161;area_code_415;no;yes;39;218,5;76;37,2;112,7;94;9,6;205,1;121;9,2;7,3;4;2,0;1;no
VT;137;area_code_510;no;no;0;97,5;95;16,6;195,8;82;16,6;288,8;78;13,0;0,0;0;0,0;1;no
CT;123;area_code_415;no;no;0;128,7;126;21,9;117,6;94;10,0;198,4;132;8,9;10,8;5;2,9;0;no
WV;80;area_code_415;no;yes;38;236,6;69;40,2;197,5;68;16,8;209,5;102;9,4;9,5;10;2,6;2;no
WV;94;area_code_415;no;no;0;85,9;113;14,6;226,7;91;19,3;279,6;110;12,6;15,6;16;4,2;0;no
NE;105;area_code_415;no;yes;27;141,2;96;24,0;167,7;94;14,3;274,4;101;12,4;11,4;2;3,1;1;no
NC;73;area_code_415;no;yes;31;194,4;104;33,1;176,0;84;15,0;230,1;110;10,4;11,5;3;3,1;0;no
NE;112;area_code_415;no;no;0;167,6;100;28,5;154,5;90;13,1;281,4;107;12,7;17,3;3;4,7;2;no
IL;179;area_code_408;no;no;0;234,5;134;39,9;164,2;94;14,0;191,4;72;8,6;6,1;4;1,7;1;no
MA;57;area_code_510;no;no;0;154,2;78;26,2;196,7;85;16,7;253,5;97;11,4;10,1;9;2,7;1;no
AZ;127;area_code_415;no;yes;14;143,2;99;24,3;169,9;91;14,4;221,6;77;10,0;11,6;1;3,1;1;no
SD;122;area_code_415;yes;yes;40;216,4;80;36,8;249,7;90;21,2;185,9;99;8,4;12,7;4;3,4;1;no
MT;33;area_code_510;no;yes;35;161,9;85;27,5;151,2;82;12,9;191,0;131;8,6;8,5;2;2,3;1;no
VT;94;area_code_408;no;no;0;118,7;90;20,2;205,1;57;17,4;172,2;100;7,8;10,4;6;2,8;3;no
UT;100;area_code_408;no;no;0;179,1;123;30,5;196,6;132;16,7;186,7;116;8,4;10,2;10;2,8;1;no
HI;106;area_code_415;no;no;0;147,9;97;25,1;209,3;99;17,8;162,1;80;7,3;8,8;5;2,4;2;no
DC;148;area_code_415;no;yes;38;209,2;110;35,6;116,6;73;9,9;109,6;105;4,9;16,5;4;4,5;2;no
WI;120;area_code_415;no;yes;29;244,3;140;41,5;322,3;89;27,4;166,8;83;7,5;10,6;6;2,9;0;no
UT;91;area_code_415;no;yes;34;175,3;96;29,8;262,3;122;22,3;143,9;76;6,5;5,6;11;1,5;1;no
WA;86;area_code_510;no;no;0;150,5;92;25,6;120,3;95;10,2;271,2;96;12,2;9,0;2;2,4;1;no
MT;94;area_code_510;no;no;0;163,5;136;27,8;143,7;111;12,2;253,4;82;11,4;12,6;5;3,4;1;no
NJ;85;area_code_415;no;no;0;236,9;93;40,3;197,7;113;16,8;309,1;78;13,9;11,4;7;3,1;2;yes
CT;89;area_code_415;no;no;0;82,3;77;14,0;167,2;80;14,2;194,7;70;8,8;7,2;4;1,9;1;no
VA;128;area_code_415;no;no;0;216,0;111;36,7;153,7;115;13,1;227,0;74;10,2;12,7;4;3,4;1;no
NC;115;area_code_415;yes;no;0;180,0;119;30,6;198,8;126;16,9;217,1;70;9,8;12,4;3;3,4;1;no
AK;76;area_code_415;no;no;0;143,7;55;24,4;173,1;108;14,7;239,1;95;10,8;5,8;6;1,6;1;no
IL;90;area_code_415;no;yes;29;185,6;106;31,6;219,7;113;18,7;152,1;120;6,8;11,1;5;3,0;2;no
CT;30;area_code_408;no;no;0;137,6;108;23,4;162,0;80;13,8;187,7;126;8,5;5,8;10;1,6;3;no
KS;105;area_code_415;yes;no;0;273,9;119;46,6;278,6;103;23,7;255,3;90;11,5;10,9;7;2,9;1;yes
MA;102;area_code_415;no;yes;31;125,3;92;21,3;141,2;108;12,0;168,2;68;7,6;6,3;2;1,7;3;no
AR;63;area_code_510;no;yes;49;214,9;86;36,5;198,2;89;16,9;170,8;139;7,7;8,2;5;2,2;0;no
MS;155;area_code_408;no;no;0;163,0;93;27,7;203,9;102;17,3;159,0;109;7,2;15,1;4;4,1;2;no
ND;82;area_code_415;no;yes;29;163,8;77;27,9;134,9;112;11,5;79,3;95;3,6;8,8;2;2,4;2;no
IN;87;area_code_510;no;no;0;189,5;113;32,2;204,9;100;17,4;221,7;93;10,0;13,4;3;3,6;1;no
